year,Autumn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,5
1912,0
1913,7
1914,5
1915,5
1916,13
1917,12
1918,6
1919,7
1920,7
1921,8
1922,6
1923,7
1924,0
1925,6
1926,0
1927,7
1928,0
1929,7
1930,0
1931,0
1932,15
1933,15
1934,7
1935,11
1936,16
1937,6
1938,9
1939,6
1940,10
1941,9
1942,7
1943,8
1944,7
1945,7
1946,6
1947,11
1948,11
1949,12
1950,7
1951,15
1952,25
1953,24
1954,40
1955,34
1956,78
1957,78
1958,54
1959,57
1960,59
1961,92
1962,93
1963,96
1964,90
1965,96
1966,99
1967,98
1968,97
1969,154
1970,200
1971,251
1972,301
1973,318
1974,626
1975,850
1976,936
1977,1097
1978,1319
1979,1512
1980,1540
1981,1500
1982,1436
1983,1262
1984,1191
1985,1228
1986,1121
1987,1452
1988,1672
1989,1486
1990,1652
1991,1747
1992,1783
1993,2091
1994,2723
1995,2986
1996,3119
1997,3745
1998,4213
1999,4126
2000,4032
2001,4196
2002,4108
2003,4063
2004,3887
2005,3600
2006,3583
2007,3708
2008,3651
2009,3711
2010,3511
2011,3759
2012,3772
