year,Arlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,5
1914,13
1915,16
1916,22
1917,13
1918,18
1919,14
1920,29
1921,24
1922,23
1923,23
1924,46
1925,40
1926,42
1927,42
1928,37
1929,44
1930,54
1931,50
1932,55
1933,58
1934,75
1935,55
1936,66
1937,61
1938,56
1939,73
1940,59
1941,55
1942,63
1943,51
1944,46
1945,53
1946,69
1947,66
1948,49
1949,53
1950,51
1951,67
1952,47
1953,41
1954,50
1955,42
1956,54
1957,27
1958,44
1959,47
1960,38
1961,39
1962,34
1963,33
1964,27
1965,28
1966,25
1967,16
1968,13
1969,25
1970,29
1971,30
1972,25
1973,24
1974,27
1975,22
1976,27
1977,22
1978,32
1979,19
1980,23
1981,22
1982,16
1983,21
1984,17
1985,10
1986,15
1987,10
1988,18
1989,28
1990,15
1991,27
1992,28
1993,23
1994,30
1995,30
1996,22
1997,34
1998,54
1999,45
2000,46
2001,37
2002,46
2003,62
2004,61
2005,49
2006,47
2007,68
2008,63
2009,59
2010,59
2011,50
2012,65
