year,Alta
1880,91
1881,114
1882,119
1883,114
1884,140
1885,155
1886,159
1887,187
1888,218
1889,231
1890,234
1891,244
1892,282
1893,274
1894,303
1895,286
1896,302
1897,295
1898,317
1899,278
1900,337
1901,280
1902,279
1903,282
1904,327
1905,316
1906,316
1907,319
1908,313
1909,327
1910,347
1911,356
1912,458
1913,490
1914,558
1915,721
1916,771
1917,792
1918,820
1919,738
1920,715
1921,748
1922,691
1923,635
1924,663
1925,598
1926,610
1927,564
1928,522
1929,481
1930,434
1931,434
1932,420
1933,430
1934,355
1935,375
1936,334
1937,330
1938,301
1939,288
1940,291
1941,247
1942,271
1943,239
1944,224
1945,215
1946,202
1947,198
1948,181
1949,187
1950,175
1951,164
1952,165
1953,144
1954,114
1955,117
1956,116
1957,100
1958,101
1959,83
1960,88
1961,76
1962,70
1963,41
1964,65
1965,54
1966,52
1967,39
1968,52
1969,52
1970,53
1971,43
1972,40
1973,43
1974,38
1975,44
1976,36
1977,44
1978,43
1979,37
1980,38
1981,25
1982,42
1983,29
1984,34
1985,27
1986,20
1987,21
1988,20
1989,32
1990,22
1991,16
1992,24
1993,24
1994,18
1995,17
1996,15
1997,20
1998,11
1999,18
2000,23
2001,20
2002,22
2003,16
2004,15
2005,21
2006,14
2007,18
2008,17
2009,17
2010,17
2011,19
2012,15
