year,Anabel
1880,0
1881,0
1882,5
1883,7
1884,5
1885,7
1886,6
1887,13
1888,5
1889,7
1890,0
1891,7
1892,8
1893,6
1894,13
1895,7
1896,0
1897,7
1898,5
1899,0
1900,8
1901,0
1902,9
1903,7
1904,10
1905,9
1906,15
1907,7
1908,14
1909,8
1910,13
1911,9
1912,14
1913,19
1914,18
1915,29
1916,37
1917,24
1918,37
1919,37
1920,26
1921,31
1922,34
1923,33
1924,43
1925,19
1926,28
1927,25
1928,20
1929,13
1930,19
1931,21
1932,15
1933,16
1934,14
1935,10
1936,8
1937,7
1938,5
1939,5
1940,10
1941,9
1942,11
1943,6
1944,9
1945,0
1946,5
1947,6
1948,5
1949,9
1950,10
1951,6
1952,9
1953,0
1954,9
1955,17
1956,22
1957,21
1958,19
1959,15
1960,26
1961,18
1962,27
1963,33
1964,37
1965,43
1966,36
1967,29
1968,27
1969,35
1970,37
1971,45
1972,45
1973,45
1974,71
1975,67
1976,70
1977,79
1978,93
1979,87
1980,162
1981,132
1982,110
1983,124
1984,117
1985,114
1986,128
1987,115
1988,173
1989,248
1990,285
1991,292
1992,189
1993,170
1994,164
1995,143
1996,157
1997,164
1998,160
1999,168
2000,183
2001,180
2002,219
2003,186
2004,248
2005,231
2006,247
2007,285
2008,279
2009,232
2010,269
2011,254
2012,262
