year,Allena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,7
1891,5
1892,0
1893,10
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,5
1905,0
1906,5
1907,10
1908,8
1909,11
1910,7
1911,0
1912,0
1913,11
1914,10
1915,10
1916,11
1917,8
1918,9
1919,12
1920,13
1921,12
1922,9
1923,7
1924,0
1925,13
1926,8
1927,12
1928,6
1929,6
1930,8
1931,8
1932,5
1933,15
1934,15
1935,5
1936,7
1937,10
1938,8
1939,0
1940,13
1941,7
1942,9
1943,6
1944,8
1945,0
1946,10
1947,12
1948,7
1949,11
1950,5
1951,9
1952,6
1953,9
1954,6
1955,16
1956,9
1957,9
1958,12
1959,6
1960,12
1961,12
1962,0
1963,11
1964,15
1965,7
1966,6
1967,8
1968,14
1969,11
1970,14
1971,12
1972,9
1973,13
1974,13
1975,17
1976,19
1977,20
1978,15
1979,19
1980,9
1981,17
1982,19
1983,12
1984,21
1985,26
1986,16
1987,16
1988,17
1989,19
1990,21
1991,22
1992,21
1993,34
1994,31
1995,31
1996,34
1997,30
1998,28
1999,35
2000,50
2001,38
2002,43
2003,45
2004,36
2005,47
2006,43
2007,57
2008,37
2009,38
2010,49
2011,26
2012,31
