year,Annabelle
1880,9
1881,13
1882,22
1883,11
1884,14
1885,27
1886,21
1887,22
1888,19
1889,29
1890,40
1891,33
1892,41
1893,31
1894,33
1895,42
1896,44
1897,28
1898,77
1899,45
1900,73
1901,54
1902,65
1903,60
1904,76
1905,90
1906,78
1907,94
1908,113
1909,107
1910,121
1911,164
1912,219
1913,240
1914,315
1915,427
1916,448
1917,500
1918,484
1919,472
1920,571
1921,631
1922,584
1923,615
1924,674
1925,573
1926,628
1927,568
1928,566
1929,480
1930,462
1931,452
1932,356
1933,263
1934,282
1935,248
1936,215
1937,174
1938,218
1939,194
1940,188
1941,156
1942,153
1943,135
1944,134
1945,105
1946,115
1947,112
1948,116
1949,111
1950,100
1951,67
1952,56
1953,46
1954,52
1955,27
1956,51
1957,55
1958,66
1959,65
1960,64
1961,70
1962,57
1963,49
1964,62
1965,65
1966,65
1967,55
1968,45
1969,83
1970,74
1971,58
1972,53
1973,64
1974,50
1975,46
1976,73
1977,55
1978,37
1979,50
1980,56
1981,55
1982,51
1983,50
1984,63
1985,53
1986,51
1987,50
1988,61
1989,88
1990,73
1991,79
1992,106
1993,103
1994,129
1995,194
1996,211
1997,241
1998,359
1999,520
2000,597
2001,860
2002,917
2003,1060
2004,1067
2005,1403
2006,1665
2007,1724
2008,1808
2009,2058
2010,2637
2011,2720
2012,3045
