year,Azalea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,7
1903,5
1904,6
1905,6
1906,11
1907,5
1908,11
1909,8
1910,5
1911,6
1912,10
1913,13
1914,9
1915,11
1916,16
1917,14
1918,20
1919,14
1920,24
1921,17
1922,14
1923,10
1924,10
1925,11
1926,13
1927,5
1928,10
1929,13
1930,0
1931,7
1932,9
1933,0
1934,5
1935,9
1936,8
1937,5
1938,7
1939,5
1940,0
1941,6
1942,5
1943,10
1944,0
1945,0
1946,6
1947,0
1948,5
1949,0
1950,11
1951,11
1952,8
1953,18
1954,5
1955,6
1956,17
1957,0
1958,5
1959,0
1960,8
1961,0
1962,10
1963,0
1964,8
1965,0
1966,0
1967,6
1968,0
1969,11
1970,8
1971,9
1972,7
1973,11
1974,19
1975,15
1976,17
1977,16
1978,19
1979,14
1980,11
1981,21
1982,12
1983,15
1984,13
1985,14
1986,11
1987,19
1988,20
1989,26
1990,23
1991,25
1992,25
1993,33
1994,33
1995,28
1996,46
1997,56
1998,57
1999,58
2000,60
2001,86
2002,97
2003,94
2004,96
2005,136
2006,120
2007,127
2008,138
2009,135
2010,164
2011,199
2012,290
