year,Arlena
1880,0
1881,0
1882,0
1883,6
1884,0
1885,5
1886,5
1887,5
1888,0
1889,5
1890,8
1891,0
1892,13
1893,6
1894,10
1895,6
1896,8
1897,8
1898,8
1899,9
1900,18
1901,7
1902,16
1903,13
1904,13
1905,15
1906,13
1907,14
1908,22
1909,10
1910,20
1911,20
1912,20
1913,24
1914,28
1915,26
1916,41
1917,32
1918,34
1919,60
1920,45
1921,39
1922,32
1923,34
1924,46
1925,54
1926,33
1927,41
1928,28
1929,31
1930,48
1931,33
1932,33
1933,35
1934,27
1935,19
1936,23
1937,26
1938,24
1939,24
1940,25
1941,24
1942,30
1943,22
1944,20
1945,22
1946,22
1947,18
1948,29
1949,17
1950,30
1951,26
1952,21
1953,20
1954,18
1955,12
1956,13
1957,16
1958,31
1959,23
1960,19
1961,22
1962,27
1963,26
1964,27
1965,24
1966,25
1967,11
1968,24
1969,29
1970,26
1971,22
1972,24
1973,18
1974,27
1975,17
1976,19
1977,25
1978,28
1979,19
1980,23
1981,25
1982,26
1983,22
1984,20
1985,17
1986,15
1987,18
1988,18
1989,18
1990,26
1991,31
1992,34
1993,24
1994,34
1995,29
1996,22
1997,21
1998,15
1999,13
2000,15
2001,13
2002,16
2003,16
2004,14
2005,5
2006,9
2007,10
2008,7
2009,8
2010,9
2011,6
2012,6
