year,Althea
1880,9
1881,8
1882,11
1883,13
1884,13
1885,14
1886,19
1887,18
1888,21
1889,30
1890,19
1891,39
1892,29
1893,23
1894,42
1895,32
1896,36
1897,29
1898,33
1899,41
1900,35
1901,37
1902,41
1903,49
1904,46
1905,46
1906,53
1907,48
1908,66
1909,75
1910,91
1911,76
1912,131
1913,141
1914,199
1915,266
1916,265
1917,265
1918,318
1919,261
1920,337
1921,310
1922,274
1923,254
1924,280
1925,258
1926,225
1927,263
1928,196
1929,198
1930,175
1931,160
1932,164
1933,162
1934,166
1935,141
1936,124
1937,148
1938,119
1939,113
1940,101
1941,118
1942,116
1943,115
1944,111
1945,110
1946,125
1947,118
1948,126
1949,235
1950,309
1951,334
1952,327
1953,254
1954,308
1955,249
1956,387
1957,351
1958,278
1959,217
1960,218
1961,186
1962,159
1963,135
1964,149
1965,213
1966,163
1967,212
1968,202
1969,155
1970,150
1971,139
1972,142
1973,95
1974,106
1975,76
1976,83
1977,77
1978,64
1979,70
1980,69
1981,88
1982,50
1983,49
1984,70
1985,44
1986,50
1987,47
1988,55
1989,70
1990,55
1991,50
1992,40
1993,51
1994,39
1995,40
1996,47
1997,51
1998,58
1999,61
2000,68
2001,53
2002,55
2003,69
2004,66
2005,68
2006,57
2007,57
2008,59
2009,74
2010,81
2011,72
2012,73
