year,Ancil
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,5
1909,0
1910,0
1911,7
1912,12
1913,10
1914,17
1915,26
1916,27
1917,24
1918,27
1919,16
1920,35
1921,29
1922,24
1923,18
1924,34
1925,29
1926,14
1927,26
1928,25
1929,19
1930,32
1931,15
1932,24
1933,19
1934,23
1935,20
1936,22
1937,20
1938,19
1939,20
1940,16
1941,17
1942,19
1943,20
1944,22
1945,15
1946,15
1947,22
1948,13
1949,15
1950,10
1951,12
1952,15
1953,15
1954,16
1955,6
1956,11
1957,9
1958,10
1959,6
1960,8
1961,10
1962,7
1963,10
1964,0
1965,0
1966,9
1967,7
1968,5
1969,7
1970,7
1971,6
1972,5
1973,0
1974,5
1975,0
1976,6
1977,0
1978,7
1979,0
1980,0
1981,5
1982,7
1983,0
1984,0
1985,5
1986,6
1987,0
1988,5
1989,0
1990,0
1991,5
1992,0
1993,0
1994,5
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
