year,Arminda
1880,0
1881,7
1882,6
1883,7
1884,8
1885,5
1886,13
1887,0
1888,0
1889,5
1890,0
1891,0
1892,5
1893,6
1894,0
1895,5
1896,0
1897,6
1898,0
1899,0
1900,5
1901,0
1902,0
1903,5
1904,5
1905,0
1906,6
1907,5
1908,0
1909,0
1910,5
1911,0
1912,8
1913,0
1914,8
1915,8
1916,11
1917,19
1918,13
1919,17
1920,13
1921,18
1922,0
1923,17
1924,14
1925,7
1926,16
1927,8
1928,12
1929,8
1930,10
1931,10
1932,11
1933,10
1934,9
1935,6
1936,5
1937,10
1938,10
1939,13
1940,8
1941,7
1942,13
1943,0
1944,11
1945,12
1946,8
1947,0
1948,9
1949,6
1950,12
1951,13
1952,11
1953,18
1954,15
1955,12
1956,14
1957,14
1958,11
1959,11
1960,13
1961,11
1962,9
1963,15
1964,13
1965,18
1966,10
1967,13
1968,17
1969,16
1970,16
1971,26
1972,15
1973,10
1974,22
1975,22
1976,20
1977,14
1978,17
1979,20
1980,27
1981,32
1982,21
1983,21
1984,17
1985,17
1986,17
1987,21
1988,17
1989,16
1990,16
1991,18
1992,12
1993,18
1994,8
1995,12
1996,6
1997,5
1998,9
1999,0
2000,8
2001,5
2002,7
2003,6
2004,6
2005,0
2006,9
2007,5
2008,5
2009,0
2010,6
2011,0
2012,5
