year,Atlas
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,6
1904,6
1905,0
1906,0
1907,0
1908,0
1909,0
1910,13
1911,0
1912,5
1913,18
1914,13
1915,15
1916,25
1917,23
1918,19
1919,24
1920,20
1921,23
1922,29
1923,16
1924,19
1925,20
1926,9
1927,14
1928,12
1929,8
1930,23
1931,6
1932,6
1933,15
1934,14
1935,10
1936,9
1937,12
1938,9
1939,6
1940,6
1941,8
1942,6
1943,11
1944,7
1945,7
1946,11
1947,9
1948,12
1949,13
1950,6
1951,0
1952,10
1953,6
1954,8
1955,0
1956,6
1957,6
1958,9
1959,7
1960,7
1961,9
1962,7
1963,6
1964,8
1965,0
1966,5
1967,8
1968,0
1969,0
1970,0
1971,10
1972,0
1973,0
1974,6
1975,5
1976,0
1977,5
1978,6
1979,0
1980,9
1981,7
1982,6
1983,5
1984,0
1985,5
1986,5
1987,0
1988,0
1989,7
1990,5
1991,9
1992,0
1993,13
1994,5
1995,6
1996,10
1997,7
1998,12
1999,9
2000,8
2001,7
2002,13
2003,12
2004,20
2005,17
2006,19
2007,35
2008,53
2009,62
2010,100
2011,108
2012,125
