year,Acie
1880,0
1881,6
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,8
1890,0
1891,0
1892,0
1893,7
1894,5
1895,9
1896,5
1897,5
1898,0
1899,0
1900,10
1901,8
1902,5
1903,7
1904,8
1905,9
1906,6
1907,8
1908,6
1909,11
1910,9
1911,17
1912,16
1913,18
1914,29
1915,35
1916,38
1917,39
1918,42
1919,39
1920,32
1921,28
1922,47
1923,42
1924,40
1925,36
1926,45
1927,39
1928,45
1929,34
1930,35
1931,26
1932,27
1933,34
1934,25
1935,29
1936,19
1937,23
1938,18
1939,24
1940,23
1941,21
1942,30
1943,33
1944,27
1945,23
1946,23
1947,28
1948,20
1949,24
1950,24
1951,15
1952,33
1953,20
1954,19
1955,22
1956,16
1957,21
1958,15
1959,12
1960,17
1961,23
1962,16
1963,21
1964,13
1965,11
1966,18
1967,19
1968,6
1969,9
1970,17
1971,12
1972,13
1973,6
1974,10
1975,9
1976,8
1977,11
1978,12
1979,8
1980,8
1981,15
1982,13
1983,9
1984,9
1985,0
1986,10
1987,9
1988,7
1989,7
1990,10
1991,15
1992,12
1993,11
1994,6
1995,7
1996,10
1997,7
1998,7
1999,5
2000,7
2001,0
2002,0
2003,7
2004,7
2005,12
2006,13
2007,11
2008,11
2009,0
2010,8
2011,12
2012,11
