year,Agatha
1880,16
1881,10
1882,21
1883,14
1884,18
1885,19
1886,23
1887,25
1888,33
1889,33
1890,42
1891,46
1892,39
1893,38
1894,42
1895,47
1896,50
1897,50
1898,56
1899,58
1900,65
1901,54
1902,51
1903,64
1904,52
1905,66
1906,72
1907,65
1908,62
1909,72
1910,79
1911,83
1912,121
1913,153
1914,172
1915,199
1916,213
1917,217
1918,218
1919,199
1920,206
1921,187
1922,187
1923,156
1924,180
1925,168
1926,150
1927,133
1928,135
1929,121
1930,103
1931,94
1932,94
1933,99
1934,75
1935,102
1936,78
1937,89
1938,80
1939,70
1940,81
1941,63
1942,58
1943,60
1944,47
1945,68
1946,68
1947,56
1948,49
1949,58
1950,66
1951,72
1952,61
1953,47
1954,52
1955,36
1956,36
1957,45
1958,54
1959,38
1960,36
1961,43
1962,30
1963,30
1964,43
1965,30
1966,25
1967,26
1968,27
1969,33
1970,20
1971,24
1972,21
1973,30
1974,24
1975,22
1976,32
1977,23
1978,17
1979,33
1980,27
1981,29
1982,49
1983,32
1984,28
1985,25
1986,30
1987,35
1988,27
1989,29
1990,28
1991,27
1992,29
1993,30
1994,15
1995,23
1996,14
1997,15
1998,28
1999,24
2000,28
2001,23
2002,25
2003,38
2004,24
2005,53
2006,50
2007,47
2008,38
2009,36
2010,48
2011,51
2012,44
