year,Adell
1880,0
1881,14
1882,0
1883,0
1884,9
1885,11
1886,8
1887,9
1888,7
1889,19
1890,13
1891,9
1892,12
1893,21
1894,19
1895,15
1896,15
1897,20
1898,39
1899,18
1900,49
1901,19
1902,43
1903,39
1904,40
1905,50
1906,42
1907,50
1908,44
1909,56
1910,92
1911,67
1912,111
1913,107
1914,125
1915,169
1916,165
1917,172
1918,187
1919,210
1920,229
1921,217
1922,196
1923,208
1924,202
1925,194
1926,192
1927,162
1928,118
1929,148
1930,131
1931,140
1932,112
1933,115
1934,86
1935,119
1936,104
1937,100
1938,87
1939,87
1940,86
1941,76
1942,96
1943,84
1944,73
1945,68
1946,65
1947,81
1948,79
1949,67
1950,66
1951,91
1952,66
1953,88
1954,62
1955,69
1956,50
1957,50
1958,36
1959,50
1960,35
1961,32
1962,25
1963,22
1964,26
1965,29
1966,24
1967,18
1968,16
1969,22
1970,13
1971,16
1972,12
1973,11
1974,12
1975,21
1976,21
1977,10
1978,11
1979,24
1980,7
1981,15
1982,26
1983,14
1984,10
1985,16
1986,11
1987,10
1988,8
1989,6
1990,8
1991,9
1992,0
1993,12
1994,0
1995,0
1996,13
1997,14
1998,16
1999,12
2000,6
2001,9
2002,11
2003,8
2004,7
2005,7
2006,0
2007,6
2008,6
2009,8
2010,10
2011,7
2012,19
