year,Audria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,7
1912,5
1913,10
1914,13
1915,14
1916,14
1917,17
1918,9
1919,14
1920,16
1921,14
1922,16
1923,11
1924,16
1925,14
1926,13
1927,13
1928,9
1929,15
1930,7
1931,12
1932,6
1933,19
1934,11
1935,0
1936,5
1937,11
1938,5
1939,6
1940,0
1941,6
1942,0
1943,8
1944,0
1945,8
1946,6
1947,9
1948,7
1949,0
1950,6
1951,0
1952,5
1953,0
1954,7
1955,7
1956,0
1957,0
1958,5
1959,9
1960,0
1961,9
1962,6
1963,5
1964,0
1965,9
1966,20
1967,27
1968,17
1969,20
1970,17
1971,22
1972,15
1973,23
1974,14
1975,16
1976,20
1977,21
1978,15
1979,18
1980,21
1981,20
1982,24
1983,15
1984,15
1985,20
1986,21
1987,11
1988,12
1989,14
1990,18
1991,16
1992,17
1993,11
1994,15
1995,13
1996,17
1997,13
1998,9
1999,11
2000,13
2001,14
2002,6
2003,6
2004,14
2005,11
2006,9
2007,13
2008,16
2009,9
2010,13
2011,13
2012,13
