year,Annamarie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,6
1908,0
1909,5
1910,7
1911,6
1912,9
1913,8
1914,19
1915,25
1916,18
1917,23
1918,34
1919,32
1920,30
1921,26
1922,37
1923,43
1924,51
1925,49
1926,50
1927,43
1928,40
1929,37
1930,35
1931,48
1932,35
1933,30
1934,47
1935,32
1936,51
1937,40
1938,51
1939,46
1940,42
1941,62
1942,66
1943,65
1944,78
1945,56
1946,70
1947,75
1948,84
1949,86
1950,87
1951,84
1952,65
1953,68
1954,95
1955,93
1956,107
1957,155
1958,136
1959,150
1960,166
1961,193
1962,173
1963,195
1964,204
1965,154
1966,131
1967,133
1968,127
1969,117
1970,108
1971,112
1972,100
1973,81
1974,113
1975,93
1976,95
1977,98
1978,96
1979,107
1980,136
1981,107
1982,122
1983,128
1984,132
1985,132
1986,159
1987,166
1988,179
1989,167
1990,178
1991,172
1992,164
1993,153
1994,188
1995,193
1996,222
1997,221
1998,193
1999,215
2000,217
2001,204
2002,194
2003,174
2004,181
2005,184
2006,180
2007,157
2008,140
2009,143
2010,109
2011,124
2012,149
