year,Allene
1880,0
1881,6
1882,5
1883,6
1884,0
1885,5
1886,7
1887,5
1888,10
1889,15
1890,19
1891,20
1892,9
1893,15
1894,26
1895,21
1896,28
1897,19
1898,34
1899,20
1900,38
1901,34
1902,41
1903,35
1904,49
1905,39
1906,59
1907,46
1908,65
1909,64
1910,86
1911,88
1912,152
1913,128
1914,160
1915,202
1916,206
1917,228
1918,230
1919,214
1920,271
1921,244
1922,236
1923,244
1924,208
1925,280
1926,317
1927,278
1928,232
1929,201
1930,183
1931,181
1932,179
1933,188
1934,174
1935,157
1936,131
1937,128
1938,108
1939,101
1940,89
1941,102
1942,75
1943,96
1944,93
1945,101
1946,97
1947,94
1948,93
1949,90
1950,79
1951,85
1952,64
1953,58
1954,72
1955,45
1956,48
1957,50
1958,40
1959,50
1960,26
1961,39
1962,19
1963,22
1964,41
1965,33
1966,24
1967,26
1968,21
1969,22
1970,22
1971,25
1972,15
1973,13
1974,13
1975,11
1976,12
1977,10
1978,15
1979,5
1980,5
1981,11
1982,15
1983,8
1984,9
1985,7
1986,12
1987,8
1988,15
1989,6
1990,16
1991,10
1992,15
1993,15
1994,13
1995,9
1996,7
1997,11
1998,10
1999,5
2000,13
2001,11
2002,8
2003,10
2004,11
2005,12
2006,11
2007,8
2008,0
2009,9
2010,0
2011,9
2012,8
