year,Alfreda
1880,0
1881,7
1882,0
1883,0
1884,0
1885,0
1886,0
1887,9
1888,8
1889,0
1890,11
1891,13
1892,10
1893,16
1894,11
1895,13
1896,30
1897,24
1898,18
1899,18
1900,22
1901,16
1902,22
1903,12
1904,26
1905,24
1906,26
1907,22
1908,39
1909,37
1910,31
1911,46
1912,59
1913,77
1914,107
1915,136
1916,176
1917,174
1918,196
1919,178
1920,204
1921,181
1922,199
1923,197
1924,233
1925,231
1926,195
1927,182
1928,167
1929,147
1930,134
1931,128
1932,108
1933,112
1934,130
1935,104
1936,115
1937,128
1938,108
1939,104
1940,115
1941,104
1942,132
1943,125
1944,132
1945,99
1946,119
1947,135
1948,139
1949,151
1950,199
1951,188
1952,234
1953,203
1954,237
1955,243
1956,268
1957,279
1958,362
1959,293
1960,276
1961,241
1962,236
1963,215
1964,172
1965,158
1966,115
1967,122
1968,111
1969,82
1970,96
1971,92
1972,93
1973,84
1974,91
1975,81
1976,58
1977,54
1978,55
1979,54
1980,32
1981,46
1982,42
1983,43
1984,33
1985,34
1986,28
1987,25
1988,22
1989,13
1990,20
1991,18
1992,14
1993,10
1994,12
1995,9
1996,6
1997,6
1998,5
1999,5
2000,6
2001,0
2002,0
2003,0
2004,5
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
