year,Alison
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,7
1906,0
1907,5
1908,0
1909,0
1910,5
1911,0
1912,9
1913,19
1914,28
1915,16
1916,15
1917,20
1918,29
1919,17
1920,17
1921,24
1922,21
1923,27
1924,34
1925,21
1926,22
1927,25
1928,33
1929,14
1930,24
1931,27
1932,35
1933,26
1934,56
1935,35
1936,51
1937,44
1938,43
1939,44
1940,42
1941,35
1942,85
1943,67
1944,82
1945,125
1946,220
1947,233
1948,273
1949,324
1950,359
1951,419
1952,444
1953,492
1954,626
1955,543
1956,593
1957,576
1958,991
1959,1196
1960,1267
1961,1412
1962,1423
1963,1395
1964,1452
1965,1458
1966,958
1967,899
1968,904
1969,1081
1970,1773
1971,2223
1972,1824
1973,1936
1974,2096
1975,2282
1976,2290
1977,2389
1978,2443
1979,2949
1980,2994
1981,2717
1982,2745
1983,2504
1984,2523
1985,2836
1986,2999
1987,2786
1988,2552
1989,2518
1990,2374
1991,2167
1992,2071
1993,2245
1994,2127
1995,1952
1996,1901
1997,1770
1998,1646
1999,1536
2000,1386
2001,1359
2002,1360
2003,1419
2004,1437
2005,1256
2006,1220
2007,1179
2008,1254
2009,1455
2010,1216
2011,1277
2012,1185
