year,Audry
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,8
1896,6
1897,5
1898,6
1899,0
1900,5
1901,7
1902,12
1903,0
1904,8
1905,5
1906,5
1907,5
1908,9
1909,14
1910,13
1911,15
1912,29
1913,28
1914,35
1915,44
1916,60
1917,64
1918,71
1919,54
1920,74
1921,85
1922,81
1923,69
1924,77
1925,73
1926,88
1927,82
1928,103
1929,93
1930,70
1931,75
1932,70
1933,64
1934,63
1935,52
1936,56
1937,62
1938,66
1939,65
1940,49
1941,44
1942,52
1943,47
1944,41
1945,38
1946,37
1947,31
1948,38
1949,39
1950,28
1951,29
1952,31
1953,30
1954,30
1955,39
1956,31
1957,37
1958,29
1959,30
1960,24
1961,37
1962,24
1963,26
1964,27
1965,37
1966,41
1967,33
1968,45
1969,27
1970,34
1971,25
1972,20
1973,11
1974,16
1975,12
1976,20
1977,17
1978,18
1979,20
1980,26
1981,20
1982,18
1983,31
1984,24
1985,36
1986,31
1987,21
1988,26
1989,30
1990,31
1991,34
1992,29
1993,36
1994,37
1995,21
1996,19
1997,26
1998,28
1999,35
2000,45
2001,40
2002,41
2003,47
2004,37
2005,34
2006,44
2007,52
2008,53
2009,45
2010,42
2011,41
2012,28
