year,Audie
1880,0
1881,7
1882,8
1883,0
1884,5
1885,5
1886,5
1887,8
1888,11
1889,10
1890,9
1891,14
1892,20
1893,17
1894,14
1895,20
1896,24
1897,25
1898,25
1899,21
1900,33
1901,30
1902,25
1903,29
1904,36
1905,41
1906,37
1907,39
1908,41
1909,48
1910,46
1911,45
1912,65
1913,72
1914,86
1915,93
1916,107
1917,94
1918,101
1919,89
1920,105
1921,84
1922,97
1923,80
1924,86
1925,68
1926,57
1927,72
1928,62
1929,68
1930,78
1931,42
1932,49
1933,40
1934,29
1935,48
1936,36
1937,42
1938,33
1939,36
1940,29
1941,30
1942,30
1943,27
1944,29
1945,29
1946,19
1947,37
1948,24
1949,35
1950,40
1951,61
1952,70
1953,101
1954,154
1955,169
1956,277
1957,194
1958,118
1959,107
1960,95
1961,101
1962,90
1963,79
1964,63
1965,49
1966,55
1967,53
1968,39
1969,53
1970,48
1971,74
1972,62
1973,40
1974,29
1975,32
1976,42
1977,37
1978,24
1979,31
1980,16
1981,29
1982,29
1983,17
1984,23
1985,35
1986,22
1987,16
1988,30
1989,27
1990,19
1991,21
1992,23
1993,21
1994,11
1995,22
1996,18
1997,24
1998,20
1999,13
2000,18
2001,21
2002,22
2003,19
2004,16
2005,25
2006,30
2007,34
2008,27
2009,25
2010,36
2011,39
2012,34
