year,Ansel
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,7
1887,0
1888,5
1889,6
1890,6
1891,8
1892,5
1893,13
1894,7
1895,9
1896,0
1897,5
1898,0
1899,0
1900,5
1901,0
1902,5
1903,0
1904,0
1905,6
1906,9
1907,0
1908,6
1909,9
1910,8
1911,8
1912,22
1913,32
1914,30
1915,42
1916,49
1917,39
1918,36
1919,46
1920,36
1921,40
1922,47
1923,51
1924,40
1925,44
1926,35
1927,33
1928,37
1929,24
1930,37
1931,24
1932,21
1933,31
1934,31
1935,19
1936,21
1937,20
1938,22
1939,12
1940,22
1941,20
1942,13
1943,32
1944,25
1945,20
1946,12
1947,17
1948,21
1949,21
1950,16
1951,20
1952,22
1953,14
1954,20
1955,19
1956,16
1957,15
1958,15
1959,13
1960,10
1961,11
1962,17
1963,14
1964,6
1965,18
1966,11
1967,11
1968,12
1969,14
1970,22
1971,14
1972,12
1973,18
1974,8
1975,9
1976,18
1977,25
1978,22
1979,13
1980,19
1981,17
1982,12
1983,18
1984,16
1985,22
1986,16
1987,21
1988,24
1989,23
1990,21
1991,28
1992,21
1993,29
1994,26
1995,28
1996,19
1997,28
1998,22
1999,28
2000,27
2001,28
2002,38
2003,45
2004,50
2005,70
2006,49
2007,62
2008,63
2009,51
2010,75
2011,75
2012,69
