year,Aquilla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,5
1905,5
1906,5
1907,6
1908,0
1909,10
1910,0
1911,0
1912,8
1913,0
1914,6
1915,19
1916,7
1917,5
1918,18
1919,26
1920,15
1921,12
1922,10
1923,16
1924,21
1925,17
1926,11
1927,12
1928,17
1929,12
1930,5
1931,12
1932,12
1933,9
1934,10
1935,12
1936,13
1937,6
1938,16
1939,5
1940,5
1941,10
1942,7
1943,9
1944,13
1945,7
1946,10
1947,16
1948,20
1949,5
1950,14
1951,10
1952,11
1953,10
1954,9
1955,10
1956,6
1957,8
1958,13
1959,6
1960,9
1961,10
1962,13
1963,12
1964,12
1965,0
1966,7
1967,5
1968,14
1969,9
1970,12
1971,10
1972,10
1973,10
1974,14
1975,10
1976,8
1977,9
1978,18
1979,21
1980,16
1981,19
1982,17
1983,17
1984,21
1985,16
1986,22
1987,13
1988,14
1989,14
1990,17
1991,15
1992,16
1993,12
1994,14
1995,9
1996,12
1997,14
1998,5
1999,7
2000,6
2001,0
2002,0
2003,0
2004,0
2005,5
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
