year,Ander
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,0
1910,0
1911,0
1912,0
1913,6
1914,5
1915,0
1916,9
1917,5
1918,7
1919,7
1920,6
1921,6
1922,11
1923,9
1924,9
1925,7
1926,7
1927,7
1928,8
1929,5
1930,0
1931,0
1932,8
1933,6
1934,6
1935,6
1936,0
1937,0
1938,0
1939,6
1940,9
1941,8
1942,0
1943,7
1944,7
1945,7
1946,6
1947,0
1948,5
1949,5
1950,6
1951,6
1952,0
1953,6
1954,0
1955,0
1956,0
1957,6
1958,0
1959,0
1960,7
1961,0
1962,0
1963,0
1964,11
1965,6
1966,6
1967,6
1968,0
1969,6
1970,6
1971,6
1972,0
1973,6
1974,9
1975,14
1976,0
1977,13
1978,5
1979,8
1980,6
1981,0
1982,5
1983,5
1984,5
1985,5
1986,6
1987,8
1988,9
1989,0
1990,8
1991,6
1992,8
1993,0
1994,11
1995,12
1996,7
1997,9
1998,9
1999,10
2000,11
2001,15
2002,12
2003,21
2004,25
2005,15
2006,35
2007,23
2008,44
2009,39
2010,43
2011,52
2012,72
