year,Aurora
1880,6
1881,6
1882,8
1883,10
1884,11
1885,0
1886,9
1887,15
1888,13
1889,7
1890,8
1891,15
1892,16
1893,20
1894,14
1895,15
1896,26
1897,16
1898,14
1899,17
1900,21
1901,25
1902,19
1903,28
1904,31
1905,43
1906,35
1907,53
1908,46
1909,53
1910,61
1911,66
1912,102
1913,90
1914,107
1915,147
1916,182
1917,185
1918,226
1919,223
1920,274
1921,329
1922,286
1923,338
1924,357
1925,348
1926,327
1927,369
1928,361
1929,353
1930,331
1931,264
1932,256
1933,211
1934,211
1935,201
1936,193
1937,177
1938,190
1939,178
1940,154
1941,171
1942,223
1943,228
1944,203
1945,213
1946,211
1947,247
1948,199
1949,182
1950,217
1951,188
1952,198
1953,188
1954,167
1955,180
1956,173
1957,164
1958,150
1959,157
1960,176
1961,149
1962,173
1963,153
1964,156
1965,178
1966,175
1967,163
1968,158
1969,131
1970,164
1971,178
1972,153
1973,176
1974,173
1975,178
1976,184
1977,185
1978,167
1979,194
1980,207
1981,211
1982,246
1983,175
1984,206
1985,208
1986,216
1987,252
1988,236
1989,273
1990,293
1991,269
1992,321
1993,365
1994,318
1995,324
1996,355
1997,429
1998,503
1999,519
2000,557
2001,683
2002,664
2003,810
2004,986
2005,949
2006,1067
2007,1066
2008,1170
2009,1487
2010,1523
2011,1719
2012,1898
