year,Avon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,5
1905,5
1906,0
1907,0
1908,7
1909,0
1910,0
1911,0
1912,5
1913,6
1914,23
1915,24
1916,17
1917,21
1918,28
1919,40
1920,40
1921,39
1922,33
1923,37
1924,39
1925,41
1926,43
1927,26
1928,30
1929,27
1930,28
1931,25
1932,30
1933,44
1934,38
1935,23
1936,34
1937,38
1938,31
1939,42
1940,35
1941,40
1942,40
1943,24
1944,32
1945,33
1946,33
1947,40
1948,45
1949,35
1950,40
1951,42
1952,42
1953,45
1954,34
1955,43
1956,43
1957,20
1958,27
1959,21
1960,39
1961,21
1962,9
1963,23
1964,10
1965,13
1966,15
1967,17
1968,6
1969,16
1970,16
1971,14
1972,6
1973,9
1974,23
1975,5
1976,7
1977,12
1978,9
1979,7
1980,18
1981,5
1982,12
1983,10
1984,12
1985,6
1986,11
1987,11
1988,5
1989,10
1990,0
1991,12
1992,9
1993,0
1994,6
1995,0
1996,6
1997,7
1998,0
1999,5
2000,0
2001,8
2002,5
2003,6
2004,8
2005,7
2006,12
2007,14
2008,12
2009,15
2010,12
2011,5
2012,15
