year,Antoine
1880,0
1881,0
1882,7
1883,8
1884,6
1885,6
1886,7
1887,0
1888,8
1889,0
1890,9
1891,6
1892,5
1893,6
1894,0
1895,0
1896,10
1897,7
1898,6
1899,0
1900,14
1901,8
1902,9
1903,0
1904,12
1905,7
1906,11
1907,13
1908,11
1909,12
1910,12
1911,17
1912,19
1913,18
1914,17
1915,24
1916,30
1917,29
1918,28
1919,36
1920,25
1921,35
1922,31
1923,27
1924,23
1925,25
1926,32
1927,29
1928,37
1929,21
1930,31
1931,21
1932,32
1933,17
1934,21
1935,25
1936,19
1937,12
1938,15
1939,16
1940,20
1941,24
1942,23
1943,19
1944,18
1945,21
1946,16
1947,21
1948,23
1949,24
1950,26
1951,31
1952,33
1953,32
1954,37
1955,31
1956,38
1957,76
1958,105
1959,141
1960,162
1961,158
1962,130
1963,146
1964,169
1965,169
1966,155
1967,198
1968,252
1969,351
1970,408
1971,431
1972,546
1973,544
1974,525
1975,638
1976,733
1977,707
1978,668
1979,785
1980,759
1981,726
1982,772
1983,770
1984,792
1985,841
1986,805
1987,810
1988,756
1989,715
1990,656
1991,521
1992,502
1993,453
1994,352
1995,305
1996,340
1997,363
1998,356
1999,351
2000,334
2001,339
2002,315
2003,318
2004,335
2005,367
2006,371
2007,349
2008,343
2009,281
2010,278
2011,238
2012,250
