year,Ardis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,19
1900,14
1901,8
1902,12
1903,19
1904,9
1905,14
1906,18
1907,10
1908,22
1909,11
1910,21
1911,16
1912,57
1913,70
1914,65
1915,133
1916,139
1917,168
1918,141
1919,157
1920,171
1921,218
1922,203
1923,184
1924,224
1925,217
1926,201
1927,223
1928,228
1929,185
1930,208
1931,196
1932,202
1933,184
1934,171
1935,166
1936,169
1937,155
1938,163
1939,142
1940,135
1941,113
1942,128
1943,137
1944,124
1945,101
1946,83
1947,104
1948,108
1949,105
1950,85
1951,98
1952,79
1953,89
1954,75
1955,72
1956,77
1957,72
1958,53
1959,59
1960,32
1961,53
1962,27
1963,31
1964,39
1965,22
1966,18
1967,35
1968,26
1969,17
1970,15
1971,29
1972,18
1973,28
1974,14
1975,15
1976,16
1977,14
1978,0
1979,6
1980,17
1981,5
1982,16
1983,5
1984,6
1985,0
1986,8
1987,6
1988,0
1989,11
1990,6
1991,6
1992,0
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
