year,August
1880,210
1881,172
1882,234
1883,209
1884,213
1885,193
1886,203
1887,194
1888,213
1889,171
1890,206
1891,186
1892,181
1893,155
1894,162
1895,190
1896,180
1897,137
1898,164
1899,142
1900,148
1901,116
1902,108
1903,116
1904,127
1905,109
1906,120
1907,134
1908,138
1909,129
1910,144
1911,166
1912,343
1913,401
1914,539
1915,718
1916,676
1917,667
1918,618
1919,620
1920,617
1921,616
1922,603
1923,549
1924,580
1925,516
1926,459
1927,499
1928,427
1929,458
1930,432
1931,423
1932,365
1933,337
1934,294
1935,269
1936,293
1937,300
1938,248
1939,248
1940,257
1941,238
1942,279
1943,249
1944,239
1945,200
1946,231
1947,250
1948,240
1949,249
1950,204
1951,201
1952,193
1953,217
1954,197
1955,149
1956,183
1957,185
1958,154
1959,164
1960,157
1961,169
1962,123
1963,141
1964,134
1965,121
1966,119
1967,129
1968,111
1969,118
1970,123
1971,137
1972,116
1973,113
1974,140
1975,128
1976,140
1977,148
1978,141
1979,146
1980,148
1981,137
1982,130
1983,135
1984,142
1985,146
1986,155
1987,145
1988,147
1989,181
1990,169
1991,183
1992,194
1993,211
1994,255
1995,326
1996,315
1997,376
1998,425
1999,368
2000,409
2001,387
2002,378
2003,376
2004,375
2005,430
2006,470
2007,512
2008,689
2009,760
2010,758
2011,835
2012,1075
