year,Adah
1880,24
1881,29
1882,27
1883,41
1884,33
1885,32
1886,41
1887,32
1888,38
1889,33
1890,49
1891,43
1892,40
1893,48
1894,41
1895,33
1896,46
1897,57
1898,35
1899,39
1900,37
1901,24
1902,25
1903,38
1904,24
1905,28
1906,32
1907,27
1908,18
1909,18
1910,20
1911,26
1912,27
1913,30
1914,48
1915,65
1916,59
1917,57
1918,49
1919,42
1920,42
1921,48
1922,45
1923,43
1924,29
1925,32
1926,34
1927,25
1928,22
1929,20
1930,33
1931,15
1932,20
1933,17
1934,15
1935,20
1936,10
1937,9
1938,9
1939,8
1940,10
1941,5
1942,11
1943,18
1944,8
1945,8
1946,7
1947,0
1948,12
1949,0
1950,13
1951,6
1952,8
1953,6
1954,9
1955,6
1956,0
1957,7
1958,6
1959,0
1960,0
1961,0
1962,0
1963,6
1964,0
1965,7
1966,0
1967,5
1968,5
1969,7
1970,8
1971,5
1972,0
1973,5
1974,0
1975,0
1976,7
1977,10
1978,7
1979,5
1980,8
1981,7
1982,0
1983,0
1984,7
1985,7
1986,0
1987,0
1988,10
1989,5
1990,7
1991,12
1992,5
1993,6
1994,0
1995,7
1996,0
1997,11
1998,7
1999,10
2000,10
2001,22
2002,18
2003,30
2004,37
2005,47
2006,63
2007,68
2008,65
2009,73
2010,76
2011,59
2012,59
