year,Aileen
1880,6
1881,0
1882,0
1883,8
1884,10
1885,0
1886,7
1887,8
1888,10
1889,14
1890,13
1891,14
1892,18
1893,29
1894,40
1895,40
1896,37
1897,44
1898,48
1899,49
1900,67
1901,73
1902,86
1903,63
1904,89
1905,67
1906,99
1907,72
1908,99
1909,103
1910,123
1911,150
1912,192
1913,231
1914,298
1915,390
1916,354
1917,365
1918,357
1919,371
1920,457
1921,454
1922,454
1923,420
1924,521
1925,503
1926,534
1927,463
1928,486
1929,356
1930,343
1931,286
1932,291
1933,228
1934,212
1935,174
1936,190
1937,157
1938,144
1939,131
1940,136
1941,118
1942,136
1943,209
1944,166
1945,149
1946,185
1947,199
1948,180
1949,150
1950,160
1951,212
1952,184
1953,218
1954,188
1955,208
1956,178
1957,191
1958,201
1959,216
1960,229
1961,243
1962,245
1963,216
1964,248
1965,253
1966,212
1967,210
1968,209
1969,242
1970,235
1971,192
1972,195
1973,189
1974,190
1975,170
1976,148
1977,151
1978,159
1979,148
1980,211
1981,211
1982,213
1983,254
1984,265
1985,236
1986,251
1987,217
1988,256
1989,238
1990,230
1991,254
1992,254
1993,276
1994,248
1995,235
1996,303
1997,441
1998,525
1999,492
2000,501
2001,550
2002,505
2003,526
2004,567
2005,632
2006,558
2007,645
2008,648
2009,684
2010,645
2011,638
2012,602
