year,Anastacia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,12
1897,0
1898,7
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,6
1911,5
1912,8
1913,13
1914,7
1915,18
1916,11
1917,15
1918,13
1919,22
1920,16
1921,24
1922,24
1923,13
1924,13
1925,21
1926,14
1927,15
1928,24
1929,16
1930,9
1931,14
1932,16
1933,13
1934,9
1935,12
1936,10
1937,0
1938,7
1939,8
1940,10
1941,7
1942,6
1943,13
1944,6
1945,8
1946,6
1947,10
1948,9
1949,0
1950,12
1951,6
1952,7
1953,8
1954,11
1955,14
1956,6
1957,9
1958,10
1959,10
1960,12
1961,0
1962,14
1963,16
1964,15
1965,17
1966,9
1967,16
1968,25
1969,25
1970,19
1971,28
1972,19
1973,32
1974,37
1975,29
1976,35
1977,38
1978,41
1979,33
1980,44
1981,36
1982,54
1983,53
1984,67
1985,55
1986,67
1987,115
1988,93
1989,80
1990,105
1991,101
1992,87
1993,100
1994,103
1995,86
1996,67
1997,98
1998,87
1999,92
2000,101
2001,111
2002,141
2003,184
2004,167
2005,140
2006,149
2007,154
2008,113
2009,82
2010,87
2011,61
2012,62
