year,Arrie
1880,6
1881,10
1882,11
1883,11
1884,14
1885,14
1886,20
1887,18
1888,17
1889,15
1890,25
1891,17
1892,16
1893,18
1894,21
1895,22
1896,22
1897,17
1898,22
1899,21
1900,23
1901,21
1902,19
1903,25
1904,21
1905,19
1906,19
1907,15
1908,19
1909,31
1910,18
1911,21
1912,18
1913,26
1914,20
1915,22
1916,36
1917,24
1918,30
1919,51
1920,35
1921,32
1922,48
1923,45
1924,30
1925,26
1926,32
1927,46
1928,39
1929,24
1930,26
1931,31
1932,25
1933,27
1934,27
1935,33
1936,15
1937,27
1938,14
1939,25
1940,16
1941,12
1942,9
1943,21
1944,27
1945,19
1946,19
1947,19
1948,19
1949,19
1950,12
1951,17
1952,18
1953,16
1954,11
1955,6
1956,18
1957,14
1958,11
1959,7
1960,11
1961,5
1962,13
1963,0
1964,12
1965,0
1966,5
1967,0
1968,0
1969,0
1970,11
1971,7
1972,7
1973,0
1974,6
1975,11
1976,5
1977,5
1978,8
1979,5
1980,5
1981,8
1982,19
1983,9
1984,0
1985,0
1986,6
1987,0
1988,0
1989,9
1990,5
1991,5
1992,0
1993,0
1994,5
1995,6
1996,0
1997,5
1998,0
1999,0
2000,5
2001,10
2002,0
2003,0
2004,5
2005,0
2006,10
2007,6
2008,5
2009,9
2010,6
2011,7
2012,9
