year,Alejandra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,6
1912,0
1913,5
1914,6
1915,8
1916,14
1917,12
1918,21
1919,5
1920,14
1921,11
1922,18
1923,20
1924,18
1925,17
1926,22
1927,12
1928,14
1929,20
1930,18
1931,15
1932,18
1933,17
1934,6
1935,13
1936,14
1937,7
1938,5
1939,16
1940,12
1941,7
1942,11
1943,7
1944,20
1945,20
1946,13
1947,19
1948,28
1949,17
1950,16
1951,21
1952,15
1953,9
1954,13
1955,20
1956,18
1957,18
1958,12
1959,19
1960,29
1961,26
1962,35
1963,32
1964,48
1965,39
1966,30
1967,45
1968,49
1969,77
1970,76
1971,111
1972,166
1973,138
1974,164
1975,183
1976,291
1977,259
1978,297
1979,396
1980,474
1981,497
1982,505
1983,556
1984,464
1985,495
1986,548
1987,542
1988,719
1989,912
1990,1407
1991,1672
1992,2078
1993,2155
1994,2221
1995,2026
1996,1968
1997,1928
1998,2034
1999,1767
2000,1870
2001,1733
2002,1692
2003,1677
2004,1639
2005,1591
2006,1493
2007,1378
2008,1329
2009,1197
2010,1188
2011,925
2012,784
