year,Agustina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,5
1910,0
1911,0
1912,8
1913,9
1914,12
1915,13
1916,14
1917,10
1918,17
1919,16
1920,17
1921,21
1922,20
1923,28
1924,21
1925,24
1926,19
1927,23
1928,25
1929,23
1930,25
1931,29
1932,13
1933,18
1934,12
1935,10
1936,19
1937,12
1938,18
1939,0
1940,9
1941,0
1942,5
1943,6
1944,11
1945,6
1946,13
1947,10
1948,19
1949,15
1950,9
1951,9
1952,6
1953,18
1954,6
1955,0
1956,5
1957,5
1958,7
1959,12
1960,8
1961,11
1962,7
1963,0
1964,9
1965,11
1966,8
1967,0
1968,9
1969,5
1970,12
1971,9
1972,10
1973,6
1974,10
1975,9
1976,10
1977,10
1978,12
1979,16
1980,10
1981,12
1982,14
1983,11
1984,10
1985,15
1986,10
1987,15
1988,8
1989,9
1990,18
1991,16
1992,17
1993,14
1994,17
1995,21
1996,16
1997,15
1998,13
1999,12
2000,22
2001,20
2002,35
2003,33
2004,36
2005,34
2006,30
2007,35
2008,22
2009,18
2010,23
2011,15
2012,15
