year,Arlington
1880,6
1881,5
1882,0
1883,6
1884,8
1885,0
1886,7
1887,5
1888,5
1889,0
1890,5
1891,0
1892,0
1893,0
1894,5
1895,0
1896,8
1897,0
1898,6
1899,0
1900,7
1901,0
1902,6
1903,0
1904,8
1905,5
1906,0
1907,0
1908,9
1909,0
1910,13
1911,6
1912,14
1913,21
1914,24
1915,26
1916,32
1917,44
1918,36
1919,28
1920,35
1921,30
1922,36
1923,25
1924,28
1925,30
1926,22
1927,26
1928,16
1929,13
1930,17
1931,27
1932,23
1933,15
1934,19
1935,17
1936,9
1937,24
1938,16
1939,14
1940,19
1941,14
1942,12
1943,27
1944,13
1945,8
1946,15
1947,15
1948,10
1949,13
1950,15
1951,11
1952,8
1953,10
1954,10
1955,14
1956,13
1957,10
1958,16
1959,6
1960,6
1961,6
1962,13
1963,7
1964,8
1965,15
1966,5
1967,8
1968,0
1969,5
1970,6
1971,8
1972,6
1973,6
1974,9
1975,7
1976,9
1977,7
1978,0
1979,10
1980,0
1981,9
1982,12
1983,7
1984,6
1985,10
1986,9
1987,7
1988,0
1989,7
1990,14
1991,6
1992,0
1993,5
1994,5
1995,7
1996,11
1997,6
1998,0
1999,8
2000,5
2001,8
2002,0
2003,7
2004,5
2005,5
2006,10
2007,0
2008,0
2009,5
2010,5
2011,13
2012,21
