year,Arlo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,9
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,7
1908,6
1909,8
1910,13
1911,5
1912,26
1913,30
1914,45
1915,76
1916,66
1917,69
1918,81
1919,66
1920,82
1921,58
1922,76
1923,86
1924,67
1925,68
1926,63
1927,65
1928,78
1929,88
1930,61
1931,75
1932,84
1933,74
1934,71
1935,74
1936,64
1937,66
1938,70
1939,61
1940,49
1941,68
1942,45
1943,49
1944,43
1945,36
1946,30
1947,34
1948,42
1949,25
1950,35
1951,37
1952,34
1953,21
1954,29
1955,22
1956,21
1957,30
1958,28
1959,25
1960,18
1961,15
1962,22
1963,12
1964,13
1965,9
1966,13
1967,8
1968,7
1969,18
1970,33
1971,50
1972,46
1973,49
1974,29
1975,38
1976,36
1977,40
1978,36
1979,18
1980,35
1981,28
1982,18
1983,28
1984,18
1985,22
1986,29
1987,25
1988,25
1989,26
1990,28
1991,20
1992,13
1993,18
1994,18
1995,20
1996,21
1997,16
1998,30
1999,26
2000,37
2001,33
2002,41
2003,36
2004,58
2005,64
2006,73
2007,95
2008,105
2009,157
2010,190
2011,233
2012,279
