year,Augustin
1880,6
1881,5
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,0
1892,7
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,6
1903,0
1904,6
1905,8
1906,8
1907,0
1908,5
1909,8
1910,0
1911,0
1912,9
1913,15
1914,11
1915,19
1916,21
1917,17
1918,20
1919,26
1920,28
1921,29
1922,18
1923,23
1924,26
1925,27
1926,23
1927,34
1928,21
1929,32
1930,30
1931,29
1932,25
1933,16
1934,25
1935,21
1936,26
1937,23
1938,23
1939,18
1940,25
1941,20
1942,30
1943,24
1944,25
1945,23
1946,22
1947,26
1948,29
1949,21
1950,31
1951,33
1952,30
1953,39
1954,27
1955,26
1956,22
1957,28
1958,20
1959,22
1960,23
1961,20
1962,24
1963,25
1964,32
1965,25
1966,33
1967,21
1968,27
1969,28
1970,38
1971,29
1972,43
1973,42
1974,40
1975,27
1976,50
1977,34
1978,37
1979,32
1980,35
1981,35
1982,31
1983,23
1984,34
1985,33
1986,31
1987,34
1988,32
1989,51
1990,33
1991,37
1992,38
1993,43
1994,50
1995,41
1996,37
1997,39
1998,37
1999,43
2000,63
2001,51
2002,26
2003,44
2004,47
2005,59
2006,49
2007,45
2008,55
2009,69
2010,71
2011,51
2012,61
