year,Anna (F),Anna (M)
1880,0.012924,0.000060
1881,0.014001,0.000083
1882,0.014187,0.000000
1883,0.015238,0.000074
1884,0.015854,0.000082
1885,0.016583,0.000083
1886,0.016775,0.000059
1887,0.017086,0.000049
1888,0.016635,0.000087
1889,0.017518,0.000080
1890,0.017362,0.000066
1891,0.017786,0.000052
1892,0.016574,0.000060
1893,0.017511,0.000052
1894,0.016431,0.000059
1895,0.016950,0.000051
1896,0.016392,0.000048
1897,0.015647,0.000055
1898,0.015134,0.000081
1899,0.015078,0.000068
1900,0.013576,0.000056
1901,0.014236,0.000052
1902,0.013673,0.000041
1903,0.013373,0.000047
1904,0.013210,0.000040
1905,0.012794,0.000050
1906,0.012841,0.000030
1907,0.011979,0.000043
1908,0.011990,0.000020
1909,0.011351,0.000047
1910,0.010895,0.000036
1911,0.010482,0.000031
1912,0.008690,0.000029
1913,0.008518,0.000027
1914,0.008378,0.000028
1915,0.008251,0.000017
1916,0.007872,0.000018
1917,0.007554,0.000016
1918,0.007216,0.000014
1919,0.006871,0.000020
1920,0.006443,0.000015
1921,0.006200,0.000012
1922,0.005856,0.000018
1923,0.005586,0.000017
1924,0.005493,0.000013
1925,0.005250,0.000014
1926,0.005097,0.000021
1927,0.004834,0.000022
1928,0.004678,0.000023
1929,0.004446,0.000019
1930,0.004086,0.000023
1931,0.004008,0.000016
1932,0.003752,0.000018
1933,0.003537,0.000013
1934,0.003216,0.000012
1935,0.002949,0.000014
1936,0.002756,0.000018
1937,0.002557,0.000008
1938,0.002324,0.000010
1939,0.002238,0.000008
1940,0.002049,0.000011
1941,0.001819,0.000006
1942,0.001643,0.000009
1943,0.001500,0.000005
1944,0.001352,0.000006
1945,0.001359,0.000005
1946,0.001252,0.000004
1947,0.001177,0.000004
1948,0.001170,0.000004
1949,0.001118,0.000004
1950,0.001089,0.000003
1951,0.001050,0.000004
1952,0.000977,0.000004
1953,0.000997,0.000003
1954,0.001004,0.000003
1955,0.001020,0.000004
1956,0.001063,0.000005
1957,0.001058,0.000003
1958,0.001127,0.000002
1959,0.001172,0.000005
1960,0.001120,0.000003
1961,0.001127,0.000005
1962,0.001100,0.000003
1963,0.001073,0.000004
1964,0.001102,0.000005
1965,0.001081,0.000004
1966,0.001055,0.000005
1967,0.001095,0.000004
1968,0.001053,0.000003
1969,0.001068,0.000004
1970,0.001051,0.000006
1971,0.001040,0.000004
1972,0.001095,0.000004
1973,0.001160,0.000004
1974,0.001187,0.000004
1975,0.001182,0.000005
1976,0.001180,0.000005
1977,0.001212,0.000006
1978,0.001314,0.000004
1979,0.001402,0.000009
1980,0.001460,0.000007
1981,0.001499,0.000007
1982,0.001502,0.000007
1983,0.001508,0.000004
1984,0.001521,0.000006
1985,0.001649,0.000006
1986,0.001660,0.000008
1987,0.001710,0.000007
1988,0.001743,0.000008
1989,0.001793,0.000015
1990,0.001845,0.000008
1991,0.001827,0.000004
1992,0.001781,0.000002
1993,0.001805,0.000002
1994,0.002023,0.000005
1995,0.002337,0.000004
1996,0.002345,0.000002
1997,0.002299,0.000000
1998,0.002276,0.000004
1999,0.002462,0.000003
2000,0.002800,0.000002
2001,0.002826,0.000002
2002,0.002780,0.000003
2003,0.002485,0.000003
2004,0.002493,0.000012
2005,0.002369,0.000005
2006,0.002176,0.000001
2007,0.001974,0.000003
2008,0.001849,0.000003
2009,0.001781,0.000003
2010,0.001712,0.000003
2011,0.001548,0.000002
2012,0.001537,0.000001
2013,0.001473,0.000002
