year,Arline
1880,0
1881,0
1882,0
1883,7
1884,0
1885,5
1886,8
1887,0
1888,13
1889,9
1890,18
1891,26
1892,18
1893,17
1894,33
1895,25
1896,33
1897,33
1898,33
1899,29
1900,35
1901,32
1902,38
1903,55
1904,60
1905,73
1906,60
1907,79
1908,92
1909,96
1910,104
1911,133
1912,156
1913,187
1914,260
1915,343
1916,414
1917,538
1918,487
1919,513
1920,583
1921,628
1922,589
1923,653
1924,677
1925,608
1926,597
1927,536
1928,508
1929,465
1930,371
1931,292
1932,350
1933,363
1934,414
1935,485
1936,629
1937,559
1938,345
1939,227
1940,267
1941,263
1942,264
1943,227
1944,175
1945,143
1946,155
1947,147
1948,127
1949,98
1950,80
1951,76
1952,81
1953,109
1954,71
1955,66
1956,57
1957,55
1958,63
1959,50
1960,59
1961,58
1962,53
1963,41
1964,47
1965,37
1966,35
1967,24
1968,27
1969,33
1970,16
1971,16
1972,16
1973,22
1974,18
1975,8
1976,6
1977,15
1978,12
1979,7
1980,16
1981,16
1982,10
1983,11
1984,9
1985,14
1986,10
1987,11
1988,17
1989,18
1990,9
1991,11
1992,19
1993,10
1994,14
1995,16
1996,7
1997,21
1998,27
1999,33
2000,22
2001,22
2002,18
2003,19
2004,19
2005,18
2006,11
2007,15
2008,9
2009,13
2010,5
2011,11
2012,10
