year,Arnie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,0
1900,0
1901,13
1902,6
1903,0
1904,7
1905,0
1906,0
1907,0
1908,11
1909,14
1910,13
1911,18
1912,17
1913,30
1914,23
1915,27
1916,51
1917,28
1918,40
1919,31
1920,24
1921,32
1922,34
1923,29
1924,32
1925,30
1926,20
1927,25
1928,19
1929,17
1930,25
1931,22
1932,19
1933,15
1934,27
1935,34
1936,26
1937,34
1938,24
1939,39
1940,24
1941,24
1942,26
1943,20
1944,32
1945,20
1946,32
1947,31
1948,27
1949,27
1950,30
1951,24
1952,27
1953,28
1954,25
1955,20
1956,39
1957,47
1958,52
1959,56
1960,60
1961,45
1962,55
1963,40
1964,39
1965,30
1966,39
1967,22
1968,23
1969,25
1970,24
1971,27
1972,19
1973,11
1974,11
1975,20
1976,10
1977,13
1978,12
1979,8
1980,6
1981,16
1982,17
1983,12
1984,8
1985,9
1986,13
1987,0
1988,11
1989,7
1990,12
1991,10
1992,0
1993,8
1994,9
1995,0
1996,5
1997,9
1998,8
1999,8
2000,10
2001,8
2002,6
2003,7
2004,0
2005,0
2006,7
2007,0
2008,6
2009,0
2010,6
2011,0
2012,0
