year,Aleda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,5
1892,0
1893,0
1894,0
1895,6
1896,6
1897,7
1898,0
1899,6
1900,8
1901,8
1902,6
1903,10
1904,0
1905,7
1906,9
1907,9
1908,5
1909,7
1910,8
1911,7
1912,8
1913,13
1914,5
1915,15
1916,17
1917,18
1918,19
1919,20
1920,15
1921,21
1922,25
1923,14
1924,18
1925,20
1926,12
1927,14
1928,13
1929,10
1930,12
1931,15
1932,12
1933,6
1934,8
1935,15
1936,9
1937,9
1938,7
1939,9
1940,10
1941,13
1942,15
1943,7
1944,11
1945,16
1946,25
1947,16
1948,19
1949,21
1950,20
1951,10
1952,16
1953,11
1954,22
1955,14
1956,12
1957,0
1958,7
1959,9
1960,12
1961,8
1962,9
1963,7
1964,6
1965,0
1966,5
1967,6
1968,5
1969,7
1970,0
1971,5
1972,0
1973,6
1974,8
1975,5
1976,10
1977,10
1978,9
1979,9
1980,5
1981,15
1982,7
1983,0
1984,0
1985,0
1986,5
1987,5
1988,0
1989,0
1990,5
1991,6
1992,5
1993,0
1994,5
1995,0
1996,5
1997,0
1998,0
1999,9
2000,0
2001,5
2002,0
2003,0
2004,0
2005,6
2006,5
2007,0
2008,0
2009,8
2010,5
2011,5
2012,0
