year,Amadeo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,8
1911,0
1912,12
1913,13
1914,18
1915,18
1916,22
1917,24
1918,20
1919,9
1920,13
1921,18
1922,10
1923,17
1924,22
1925,12
1926,11
1927,12
1928,15
1929,10
1930,14
1931,9
1932,0
1933,5
1934,11
1935,5
1936,12
1937,6
1938,10
1939,11
1940,12
1941,8
1942,11
1943,9
1944,6
1945,15
1946,5
1947,6
1948,6
1949,10
1950,6
1951,7
1952,8
1953,11
1954,9
1955,14
1956,11
1957,7
1958,10
1959,6
1960,11
1961,10
1962,0
1963,9
1964,14
1965,9
1966,5
1967,7
1968,0
1969,5
1970,8
1971,0
1972,5
1973,8
1974,10
1975,10
1976,6
1977,13
1978,10
1979,9
1980,6
1981,9
1982,8
1983,12
1984,12
1985,6
1986,11
1987,11
1988,13
1989,20
1990,17
1991,11
1992,24
1993,20
1994,20
1995,19
1996,26
1997,16
1998,15
1999,19
2000,15
2001,26
2002,17
2003,38
2004,18
2005,31
2006,31
2007,27
2008,29
2009,23
2010,18
2011,22
2012,33
