year,Argie
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,5
1899,6
1900,8
1901,10
1902,5
1903,6
1904,0
1905,7
1906,12
1907,0
1908,5
1909,5
1910,11
1911,15
1912,17
1913,12
1914,13
1915,29
1916,19
1917,20
1918,24
1919,38
1920,22
1921,26
1922,29
1923,34
1924,29
1925,28
1926,28
1927,26
1928,33
1929,32
1930,36
1931,33
1932,38
1933,16
1934,20
1935,20
1936,26
1937,27
1938,7
1939,12
1940,11
1941,9
1942,19
1943,19
1944,13
1945,22
1946,16
1947,11
1948,18
1949,10
1950,16
1951,10
1952,11
1953,7
1954,12
1955,16
1956,16
1957,13
1958,6
1959,8
1960,6
1961,5
1962,6
1963,14
1964,6
1965,6
1966,11
1967,0
1968,0
1969,0
1970,9
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
