year,Avis
1880,14
1881,5
1882,9
1883,13
1884,19
1885,24
1886,21
1887,17
1888,24
1889,31
1890,33
1891,32
1892,44
1893,35
1894,44
1895,38
1896,41
1897,42
1898,40
1899,43
1900,57
1901,39
1902,61
1903,48
1904,83
1905,78
1906,66
1907,89
1908,62
1909,78
1910,82
1911,152
1912,364
1913,312
1914,299
1915,380
1916,396
1917,386
1918,434
1919,360
1920,452
1921,414
1922,401
1923,433
1924,441
1925,404
1926,401
1927,388
1928,396
1929,342
1930,308
1931,282
1932,284
1933,267
1934,270
1935,255
1936,240
1937,222
1938,220
1939,191
1940,202
1941,166
1942,189
1943,128
1944,133
1945,127
1946,186
1947,163
1948,134
1949,139
1950,149
1951,169
1952,216
1953,223
1954,229
1955,240
1956,294
1957,254
1958,240
1959,216
1960,223
1961,229
1962,228
1963,188
1964,176
1965,129
1966,141
1967,103
1968,88
1969,83
1970,94
1971,82
1972,70
1973,64
1974,58
1975,54
1976,75
1977,75
1978,59
1979,55
1980,52
1981,45
1982,64
1983,48
1984,34
1985,44
1986,41
1987,47
1988,34
1989,37
1990,30
1991,33
1992,23
1993,15
1994,22
1995,22
1996,16
1997,16
1998,11
1999,7
2000,9
2001,7
2002,7
2003,7
2004,13
2005,18
2006,6
2007,18
2008,17
2009,13
2010,0
2011,0
2012,10
