year,Arlen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,8
1911,0
1912,0
1913,0
1914,14
1915,13
1916,12
1917,18
1918,21
1919,25
1920,26
1921,18
1922,24
1923,34
1924,38
1925,29
1926,36
1927,35
1928,68
1929,96
1930,138
1931,149
1932,189
1933,185
1934,215
1935,186
1936,190
1937,157
1938,163
1939,141
1940,113
1941,121
1942,92
1943,80
1944,83
1945,85
1946,114
1947,86
1948,94
1949,105
1950,106
1951,129
1952,128
1953,123
1954,161
1955,153
1956,111
1957,102
1958,108
1959,113
1960,78
1961,78
1962,70
1963,60
1964,72
1965,51
1966,63
1967,52
1968,41
1969,43
1970,48
1971,50
1972,37
1973,23
1974,43
1975,31
1976,30
1977,39
1978,36
1979,26
1980,43
1981,48
1982,34
1983,32
1984,30
1985,58
1986,42
1987,38
1988,44
1989,52
1990,41
1991,27
1992,44
1993,47
1994,41
1995,52
1996,51
1997,55
1998,51
1999,38
2000,49
2001,46
2002,49
2003,48
2004,54
2005,66
2006,57
2007,62
2008,43
2009,56
2010,35
2011,64
2012,57
