year,Adaline
1880,23
1881,18
1882,16
1883,11
1884,20
1885,19
1886,19
1887,22
1888,16
1889,16
1890,18
1891,15
1892,21
1893,30
1894,18
1895,17
1896,23
1897,19
1898,26
1899,21
1900,18
1901,25
1902,21
1903,15
1904,26
1905,26
1906,23
1907,32
1908,22
1909,26
1910,25
1911,25
1912,32
1913,36
1914,67
1915,73
1916,63
1917,66
1918,85
1919,66
1920,71
1921,67
1922,74
1923,59
1924,66
1925,55
1926,45
1927,36
1928,34
1929,31
1930,21
1931,24
1932,25
1933,18
1934,20
1935,17
1936,26
1937,14
1938,6
1939,9
1940,13
1941,10
1942,11
1943,13
1944,8
1945,8
1946,10
1947,5
1948,8
1949,15
1950,6
1951,9
1952,5
1953,15
1954,0
1955,9
1956,13
1957,10
1958,5
1959,11
1960,10
1961,8
1962,9
1963,9
1964,14
1965,8
1966,8
1967,9
1968,5
1969,6
1970,0
1971,5
1972,0
1973,5
1974,0
1975,8
1976,0
1977,0
1978,0
1979,6
1980,0
1981,6
1982,5
1983,0
1984,8
1985,6
1986,8
1987,7
1988,10
1989,7
1990,7
1991,9
1992,10
1993,11
1994,14
1995,11
1996,18
1997,16
1998,16
1999,28
2000,38
2001,37
2002,34
2003,32
2004,51
2005,57
2006,72
2007,89
2008,98
2009,105
2010,135
2011,131
2012,138
