year,Angelita
1880,0
1881,0
1882,0
1883,8
1884,0
1885,0
1886,8
1887,7
1888,6
1889,7
1890,5
1891,0
1892,10
1893,0
1894,6
1895,7
1896,14
1897,14
1898,0
1899,10
1900,15
1901,6
1902,9
1903,15
1904,12
1905,20
1906,19
1907,19
1908,24
1909,21
1910,21
1911,24
1912,41
1913,33
1914,52
1915,39
1916,48
1917,49
1918,51
1919,85
1920,93
1921,78
1922,92
1923,91
1924,118
1925,124
1926,133
1927,116
1928,112
1929,119
1930,123
1931,98
1932,134
1933,95
1934,128
1935,120
1936,101
1937,107
1938,97
1939,104
1940,86
1941,97
1942,103
1943,126
1944,105
1945,142
1946,130
1947,125
1948,161
1949,133
1950,133
1951,142
1952,141
1953,118
1954,129
1955,110
1956,121
1957,122
1958,170
1959,142
1960,149
1961,138
1962,124
1963,124
1964,135
1965,154
1966,143
1967,133
1968,174
1969,137
1970,167
1971,162
1972,174
1973,147
1974,180
1975,182
1976,154
1977,148
1978,160
1979,127
1980,178
1981,159
1982,134
1983,106
1984,118
1985,102
1986,87
1987,83
1988,85
1989,88
1990,98
1991,87
1992,118
1993,97
1994,88
1995,74
1996,70
1997,72
1998,67
1999,75
2000,81
2001,104
2002,91
2003,95
2004,87
2005,79
2006,87
2007,87
2008,68
2009,57
2010,50
2011,50
2012,36
