year,Arie
1880,9
1881,0
1882,11
1883,5
1884,9
1885,13
1886,13
1887,14
1888,14
1889,13
1890,12
1891,13
1892,20
1893,24
1894,24
1895,11
1896,15
1897,18
1898,10
1899,11
1900,20
1901,10
1902,20
1903,17
1904,23
1905,21
1906,15
1907,17
1908,18
1909,21
1910,31
1911,27
1912,28
1913,33
1914,47
1915,65
1916,50
1917,35
1918,47
1919,40
1920,54
1921,51
1922,50
1923,50
1924,61
1925,37
1926,41
1927,44
1928,42
1929,46
1930,36
1931,37
1932,44
1933,40
1934,14
1935,33
1936,26
1937,35
1938,32
1939,25
1940,26
1941,21
1942,22
1943,22
1944,15
1945,28
1946,28
1947,24
1948,17
1949,24
1950,29
1951,21
1952,30
1953,12
1954,25
1955,11
1956,31
1957,23
1958,22
1959,23
1960,22
1961,12
1962,21
1963,17
1964,20
1965,18
1966,5
1967,23
1968,17
1969,22
1970,21
1971,26
1972,28
1973,19
1974,22
1975,21
1976,32
1977,29
1978,32
1979,28
1980,29
1981,31
1982,40
1983,33
1984,30
1985,30
1986,31
1987,41
1988,38
1989,33
1990,52
1991,46
1992,39
1993,38
1994,63
1995,50
1996,44
1997,55
1998,42
1999,36
2000,34
2001,51
2002,93
2003,75
2004,62
2005,62
2006,54
2007,84
2008,78
2009,83
2010,101
2011,98
2012,146
