year,Aleta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,8
1895,7
1896,0
1897,8
1898,8
1899,5
1900,9
1901,5
1902,0
1903,0
1904,13
1905,6
1906,9
1907,6
1908,12
1909,8
1910,7
1911,16
1912,17
1913,18
1914,28
1915,37
1916,41
1917,36
1918,40
1919,41
1920,45
1921,37
1922,51
1923,48
1924,35
1925,40
1926,29
1927,41
1928,47
1929,34
1930,23
1931,38
1932,27
1933,37
1934,35
1935,37
1936,47
1937,42
1938,38
1939,33
1940,23
1941,40
1942,56
1943,52
1944,38
1945,102
1946,171
1947,262
1948,227
1949,145
1950,183
1951,142
1952,166
1953,164
1954,206
1955,162
1956,153
1957,114
1958,106
1959,96
1960,141
1961,146
1962,122
1963,140
1964,117
1965,139
1966,121
1967,94
1968,69
1969,74
1970,63
1971,92
1972,60
1973,64
1974,55
1975,62
1976,42
1977,62
1978,55
1979,48
1980,55
1981,81
1982,37
1983,36
1984,42
1985,31
1986,35
1987,34
1988,29
1989,27
1990,24
1991,22
1992,26
1993,15
1994,24
1995,22
1996,24
1997,21
1998,17
1999,17
2000,16
2001,15
2002,9
2003,12
2004,16
2005,10
2006,10
2007,9
2008,16
2009,9
2010,10
2011,11
2012,17
