year,Aldo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,5
1908,7
1909,0
1910,7
1911,14
1912,38
1913,47
1914,79
1915,97
1916,112
1917,120
1918,108
1919,97
1920,101
1921,126
1922,121
1923,138
1924,160
1925,135
1926,113
1927,91
1928,79
1929,70
1930,77
1931,58
1932,81
1933,50
1934,39
1935,39
1936,39
1937,36
1938,38
1939,28
1940,20
1941,17
1942,21
1943,16
1944,14
1945,18
1946,22
1947,33
1948,21
1949,21
1950,28
1951,22
1952,43
1953,34
1954,49
1955,54
1956,58
1957,58
1958,65
1959,71
1960,59
1961,52
1962,68
1963,64
1964,68
1965,70
1966,56
1967,84
1968,73
1969,82
1970,76
1971,72
1972,56
1973,77
1974,59
1975,66
1976,72
1977,84
1978,107
1979,117
1980,148
1981,139
1982,138
1983,106
1984,110
1985,96
1986,162
1987,152
1988,123
1989,209
1990,164
1991,169
1992,159
1993,167
1994,145
1995,235
1996,220
1997,290
1998,268
1999,218
2000,269
2001,295
2002,618
2003,390
2004,352
2005,373
2006,416
2007,666
2008,452
2009,470
2010,501
2011,434
2012,485
