year,Alvie
1880,12
1881,6
1882,7
1883,8
1884,8
1885,8
1886,5
1887,8
1888,17
1889,16
1890,5
1891,6
1892,13
1893,6
1894,26
1895,13
1896,23
1897,10
1898,21
1899,9
1900,23
1901,20
1902,18
1903,13
1904,22
1905,31
1906,21
1907,24
1908,17
1909,25
1910,30
1911,34
1912,40
1913,65
1914,59
1915,83
1916,85
1917,93
1918,111
1919,97
1920,116
1921,131
1922,119
1923,107
1924,100
1925,91
1926,101
1927,110
1928,104
1929,92
1930,94
1931,87
1932,95
1933,84
1934,62
1935,68
1936,67
1937,79
1938,78
1939,71
1940,59
1941,73
1942,74
1943,61
1944,53
1945,63
1946,67
1947,63
1948,66
1949,61
1950,48
1951,55
1952,42
1953,33
1954,37
1955,44
1956,33
1957,37
1958,38
1959,23
1960,26
1961,24
1962,35
1963,25
1964,28
1965,27
1966,26
1967,24
1968,16
1969,22
1970,26
1971,27
1972,16
1973,16
1974,21
1975,17
1976,9
1977,9
1978,9
1979,9
1980,7
1981,10
1982,13
1983,6
1984,8
1985,11
1986,6
1987,11
1988,8
1989,9
1990,5
1991,9
1992,6
1993,0
1994,7
1995,0
1996,7
1997,9
1998,0
1999,0
2000,6
2001,0
2002,0
2003,6
2004,0
2005,0
2006,0
2007,6
2008,5
2009,0
2010,0
2011,0
2012,0
