year,Angelina
1880,9
1881,8
1882,11
1883,26
1884,17
1885,18
1886,13
1887,20
1888,37
1889,29
1890,35
1891,41
1892,50
1893,53
1894,69
1895,53
1896,73
1897,82
1898,94
1899,96
1900,115
1901,122
1902,118
1903,149
1904,161
1905,171
1906,189
1907,197
1908,251
1909,227
1910,249
1911,359
1912,387
1913,520
1914,686
1915,826
1916,871
1917,885
1918,936
1919,941
1920,1036
1921,1073
1922,1027
1923,1049
1924,1088
1925,1026
1926,875
1927,899
1928,871
1929,786
1930,832
1931,623
1932,611
1933,446
1934,389
1935,368
1936,358
1937,344
1938,311
1939,308
1940,227
1941,265
1942,254
1943,264
1944,187
1945,209
1946,233
1947,251
1948,213
1949,241
1950,267
1951,212
1952,274
1953,234
1954,261
1955,258
1956,262
1957,250
1958,226
1959,241
1960,239
1961,237
1962,291
1963,279
1964,361
1965,418
1966,462
1967,422
1968,465
1969,534
1970,529
1971,513
1972,578
1973,568
1974,626
1975,683
1976,662
1977,681
1978,673
1979,837
1980,795
1981,878
1982,850
1983,822
1984,769
1985,789
1986,818
1987,790
1988,810
1989,902
1990,1099
1991,930
1992,964
1993,904
1994,914
1995,907
1996,919
1997,1078
1998,1166
1999,1326
2000,2138
2001,3368
2002,3974
2003,4275
2004,4920
2005,5807
2006,5522
2007,4857
2008,4299
2009,3633
2010,3133
2011,2850
2012,2389
