year,Adel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,11
1896,5
1897,0
1898,10
1899,0
1900,8
1901,0
1902,0
1903,11
1904,7
1905,10
1906,0
1907,5
1908,9
1909,0
1910,10
1911,8
1912,10
1913,15
1914,20
1915,20
1916,24
1917,23
1918,32
1919,18
1920,27
1921,26
1922,23
1923,25
1924,15
1925,22
1926,20
1927,20
1928,13
1929,9
1930,23
1931,11
1932,12
1933,9
1934,8
1935,14
1936,17
1937,5
1938,13
1939,16
1940,5
1941,7
1942,6
1943,9
1944,11
1945,9
1946,14
1947,11
1948,13
1949,8
1950,10
1951,8
1952,13
1953,15
1954,6
1955,13
1956,14
1957,11
1958,12
1959,8
1960,13
1961,14
1962,14
1963,0
1964,15
1965,12
1966,5
1967,0
1968,6
1969,17
1970,7
1971,6
1972,7
1973,5
1974,12
1975,18
1976,18
1977,7
1978,14
1979,24
1980,22
1981,16
1982,13
1983,25
1984,35
1985,22
1986,17
1987,31
1988,16
1989,26
1990,19
1991,26
1992,41
1993,39
1994,29
1995,36
1996,35
1997,44
1998,41
1999,29
2000,37
2001,44
2002,47
2003,46
2004,50
2005,50
2006,65
2007,63
2008,57
2009,59
2010,49
2011,57
2012,63
