year,Adriana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,9
1912,0
1913,5
1914,13
1915,19
1916,13
1917,15
1918,11
1919,12
1920,13
1921,18
1922,16
1923,22
1924,20
1925,20
1926,16
1927,15
1928,16
1929,11
1930,16
1931,21
1932,9
1933,6
1934,23
1935,17
1936,25
1937,17
1938,17
1939,16
1940,23
1941,21
1942,21
1943,24
1944,21
1945,23
1946,21
1947,35
1948,45
1949,33
1950,38
1951,43
1952,46
1953,49
1954,71
1955,53
1956,77
1957,89
1958,77
1959,102
1960,137
1961,148
1962,149
1963,172
1964,216
1965,238
1966,258
1967,283
1968,360
1969,475
1970,458
1971,464
1972,447
1973,490
1974,519
1975,614
1976,683
1977,796
1978,815
1979,938
1980,1113
1981,1055
1982,1195
1983,1067
1984,977
1985,1137
1986,1262
1987,1223
1988,1464
1989,2290
1990,2167
1991,2264
1992,2217
1993,2085
1994,2188
1995,2076
1996,2108
1997,2561
1998,2483
1999,2309
2000,2686
2001,2649
2002,2392
2003,2838
2004,2837
2005,2709
2006,3101
2007,2931
2008,2724
2009,2565
2010,2458
2011,2317
2012,2145
