year,Alene
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,5
1889,6
1890,10
1891,7
1892,5
1893,9
1894,16
1895,20
1896,10
1897,16
1898,11
1899,13
1900,23
1901,18
1902,26
1903,26
1904,28
1905,30
1906,35
1907,39
1908,35
1909,49
1910,59
1911,53
1912,97
1913,112
1914,130
1915,204
1916,186
1917,216
1918,194
1919,215
1920,264
1921,250
1922,256
1923,239
1924,231
1925,222
1926,246
1927,226
1928,212
1929,210
1930,210
1931,217
1932,171
1933,168
1934,160
1935,150
1936,133
1937,151
1938,134
1939,124
1940,114
1941,106
1942,101
1943,95
1944,102
1945,99
1946,97
1947,108
1948,119
1949,100
1950,93
1951,66
1952,89
1953,79
1954,73
1955,80
1956,69
1957,51
1958,52
1959,50
1960,55
1961,38
1962,47
1963,33
1964,43
1965,33
1966,40
1967,37
1968,30
1969,29
1970,23
1971,18
1972,21
1973,16
1974,10
1975,15
1976,20
1977,13
1978,16
1979,16
1980,22
1981,13
1982,19
1983,15
1984,17
1985,17
1986,22
1987,17
1988,13
1989,17
1990,12
1991,13
1992,20
1993,9
1994,7
1995,12
1996,10
1997,8
1998,11
1999,11
2000,16
2001,13
2002,13
2003,12
2004,14
2005,13
2006,9
2007,14
2008,11
2009,12
2010,16
2011,15
2012,12
