year,Augustina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,7
1891,0
1892,5
1893,0
1894,0
1895,9
1896,0
1897,0
1898,6
1899,0
1900,7
1901,6
1902,0
1903,13
1904,0
1905,0
1906,0
1907,7
1908,7
1909,9
1910,0
1911,8
1912,8
1913,12
1914,19
1915,16
1916,28
1917,31
1918,33
1919,26
1920,31
1921,28
1922,41
1923,35
1924,44
1925,37
1926,36
1927,45
1928,43
1929,34
1930,29
1931,25
1932,35
1933,14
1934,19
1935,13
1936,23
1937,17
1938,26
1939,16
1940,14
1941,17
1942,13
1943,16
1944,22
1945,13
1946,25
1947,21
1948,28
1949,16
1950,18
1951,21
1952,12
1953,15
1954,10
1955,10
1956,22
1957,14
1958,14
1959,15
1960,17
1961,17
1962,15
1963,12
1964,17
1965,10
1966,9
1967,13
1968,11
1969,11
1970,18
1971,16
1972,20
1973,17
1974,18
1975,24
1976,17
1977,9
1978,13
1979,20
1980,17
1981,20
1982,26
1983,21
1984,18
1985,12
1986,19
1987,20
1988,13
1989,16
1990,15
1991,8
1992,14
1993,16
1994,20
1995,19
1996,17
1997,11
1998,16
1999,15
2000,13
2001,17
2002,22
2003,19
2004,11
2005,10
2006,13
2007,16
2008,13
2009,21
2010,13
2011,15
2012,16
