year,Athena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,6
1907,0
1908,0
1909,6
1910,0
1911,0
1912,10
1913,0
1914,10
1915,22
1916,24
1917,38
1918,35
1919,44
1920,40
1921,37
1922,53
1923,36
1924,51
1925,38
1926,42
1927,39
1928,42
1929,38
1930,47
1931,33
1932,27
1933,31
1934,17
1935,28
1936,17
1937,14
1938,17
1939,14
1940,13
1941,23
1942,22
1943,18
1944,17
1945,17
1946,15
1947,22
1948,30
1949,27
1950,27
1951,28
1952,19
1953,26
1954,45
1955,176
1956,127
1957,111
1958,104
1959,123
1960,151
1961,149
1962,159
1963,129
1964,150
1965,127
1966,135
1967,163
1968,176
1969,176
1970,200
1971,220
1972,228
1973,218
1974,253
1975,252
1976,232
1977,266
1978,269
1979,445
1980,346
1981,322
1982,325
1983,335
1984,326
1985,326
1986,266
1987,202
1988,233
1989,279
1990,285
1991,264
1992,251
1993,269
1994,247
1995,296
1996,317
1997,316
1998,451
1999,492
2000,497
2001,551
2002,548
2003,538
2004,599
2005,658
2006,607
2007,727
2008,692
2009,740
2010,880
2011,1006
2012,1299
