year,Afton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,5
1899,7
1900,5
1901,9
1902,10
1903,0
1904,6
1905,8
1906,8
1907,16
1908,15
1909,14
1910,20
1911,22
1912,27
1913,45
1914,60
1915,69
1916,80
1917,98
1918,69
1919,91
1920,76
1921,87
1922,62
1923,71
1924,69
1925,70
1926,59
1927,49
1928,45
1929,46
1930,40
1931,25
1932,20
1933,37
1934,27
1935,19
1936,31
1937,25
1938,24
1939,21
1940,23
1941,14
1942,19
1943,14
1944,10
1945,11
1946,8
1947,9
1948,14
1949,5
1950,12
1951,0
1952,5
1953,0
1954,6
1955,7
1956,0
1957,0
1958,5
1959,0
1960,6
1961,0
1962,5
1963,0
1964,5
1965,5
1966,0
1967,5
1968,0
1969,8
1970,0
1971,0
1972,0
1973,7
1974,17
1975,0
1976,12
1977,7
1978,10
1979,9
1980,12
1981,82
1982,186
1983,186
1984,134
1985,136
1986,146
1987,130
1988,101
1989,123
1990,99
1991,83
1992,70
1993,63
1994,53
1995,54
1996,52
1997,55
1998,43
1999,56
2000,54
2001,70
2002,70
2003,83
2004,79
2005,100
2006,83
2007,95
2008,130
2009,105
2010,112
2011,97
2012,113
