year,Adra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,5
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,5
1914,8
1915,10
1916,13
1917,9
1918,11
1919,8
1920,8
1921,7
1922,8
1923,9
1924,10
1925,11
1926,6
1927,8
1928,8
1929,0
1930,6
1931,6
1932,0
1933,0
1934,0
1935,11
1936,7
1937,0
1938,5
1939,0
1940,6
1941,5
1942,10
1943,8
1944,5
1945,0
1946,5
1947,0
1948,0
1949,7
1950,6
1951,7
1952,6
1953,0
1954,0
1955,5
1956,9
1957,0
1958,9
1959,0
1960,6
1961,0
1962,0
1963,7
1964,0
1965,6
1966,0
1967,7
1968,8
1969,8
1970,7
1971,14
1972,5
1973,0
1974,6
1975,8
1976,7
1977,0
1978,9
1979,9
1980,9
1981,5
1982,9
1983,5
1984,0
1985,7
1986,0
1987,5
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,5
1995,8
1996,5
1997,0
1998,7
1999,8
2000,5
2001,6
2002,0
2003,0
2004,10
2005,13
2006,9
2007,7
2008,14
2009,5
2010,10
2011,8
2012,0
