year,Alys
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,7
1891,0
1892,0
1893,0
1894,8
1895,0
1896,0
1897,5
1898,6
1899,0
1900,7
1901,0
1902,7
1903,7
1904,0
1905,0
1906,11
1907,6
1908,16
1909,6
1910,19
1911,6
1912,12
1913,17
1914,18
1915,19
1916,17
1917,24
1918,26
1919,12
1920,29
1921,24
1922,17
1923,26
1924,25
1925,13
1926,19
1927,21
1928,11
1929,14
1930,13
1931,10
1932,13
1933,11
1934,11
1935,0
1936,9
1937,9
1938,12
1939,10
1940,12
1941,7
1942,12
1943,0
1944,15
1945,5
1946,9
1947,7
1948,6
1949,10
1950,7
1951,13
1952,9
1953,8
1954,11
1955,5
1956,14
1957,6
1958,10
1959,7
1960,6
1961,7
1962,6
1963,6
1964,7
1965,9
1966,9
1967,8
1968,5
1969,7
1970,11
1971,6
1972,7
1973,7
1974,5
1975,12
1976,9
1977,0
1978,0
1979,8
1980,5
1981,0
1982,0
1983,9
1984,8
1985,8
1986,9
1987,9
1988,17
1989,17
1990,6
1991,13
1992,0
1993,9
1994,11
1995,5
1996,8
1997,5
1998,5
1999,0
2000,10
2001,6
2002,10
2003,0
2004,10
2005,14
2006,7
2007,9
2008,9
2009,9
2010,11
2011,17
2012,18
