year,Angus
1880,17
1881,9
1882,24
1883,17
1884,15
1885,14
1886,15
1887,16
1888,14
1889,14
1890,21
1891,11
1892,14
1893,10
1894,13
1895,15
1896,14
1897,15
1898,13
1899,17
1900,14
1901,9
1902,15
1903,13
1904,17
1905,11
1906,11
1907,11
1908,7
1909,20
1910,20
1911,23
1912,28
1913,38
1914,59
1915,72
1916,63
1917,54
1918,67
1919,72
1920,61
1921,69
1922,68
1923,72
1924,61
1925,63
1926,89
1927,68
1928,64
1929,45
1930,46
1931,52
1932,40
1933,37
1934,45
1935,31
1936,32
1937,38
1938,40
1939,33
1940,41
1941,42
1942,37
1943,43
1944,34
1945,42
1946,41
1947,36
1948,50
1949,40
1950,37
1951,32
1952,36
1953,34
1954,39
1955,39
1956,33
1957,35
1958,23
1959,38
1960,34
1961,27
1962,25
1963,37
1964,31
1965,23
1966,23
1967,34
1968,20
1969,30
1970,33
1971,35
1972,31
1973,28
1974,30
1975,34
1976,27
1977,28
1978,27
1979,33
1980,31
1981,38
1982,33
1983,37
1984,31
1985,35
1986,33
1987,37
1988,37
1989,47
1990,37
1991,59
1992,56
1993,62
1994,71
1995,78
1996,106
1997,92
1998,96
1999,95
2000,95
2001,119
2002,83
2003,109
2004,102
2005,99
2006,126
2007,105
2008,91
2009,111
2010,87
2011,67
2012,83
