year,Donato
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,6
1911,5
1912,21
1913,26
1914,28
1915,30
1916,19
1917,27
1918,37
1919,42
1920,29
1921,40
1922,37
1923,46
1924,46
1925,41
1926,53
1927,51
1928,29
1929,31
1930,28
1931,31
1932,23
1933,24
1934,28
1935,22
1936,17
1937,24
1938,22
1939,17
1940,15
1941,20
1942,23
1943,32
1944,27
1945,14
1946,15
1947,18
1948,23
1949,30
1950,23
1951,23
1952,21
1953,25
1954,26
1955,29
1956,23
1957,26
1958,27
1959,30
1960,39
1961,22
1962,33
1963,28
1964,29
1965,21
1966,26
1967,28
1968,25
1969,22
1970,25
1971,31
1972,27
1973,18
1974,36
1975,23
1976,22
1977,22
1978,23
1979,23
1980,19
1981,27
1982,26
1983,32
1984,28
1985,22
1986,17
1987,36
1988,23
1989,25
1990,27
1991,31
1992,24
1993,26
1994,26
1995,25
1996,31
1997,23
1998,31
1999,20
2000,33
2001,28
2002,34
2003,33
2004,26
2005,39
2006,32
2007,28
2008,37
2009,31
2010,31
2011,20
2012,26
